Sample,KMeans,Hierarchical,DBSCAN,GMM
TCGA-AO-A12F,0,2,-1,0
TCGA-A8-A08J,1,0,-1,1
TCGA-A2-A0YD,1,0,-1,1
TCGA-A2-A0CX,1,0,-1,1
TCGA-4H-AAAK,1,0,-1,1
TCGA-A2-A0YC,1,0,-1,1
TCGA-A7-A13E,2,1,-1,2
TCGA-A7-A13E,0,2,-1,0
TCGA-A7-A13E,0,2,-1,0
TCGA-AR-A0TP,0,2,-1,0
TCGA-A2-A0EW,2,1,-1,2
TCGA-AO-A03N,1,0,-1,1
TCGA-A2-A0YL,1,0,-1,1
TCGA-AO-A0JB,1,0,-1,1
TCGA-AO-A0JG,1,0,-1,1
TCGA-A7-A0D9,1,0,-1,1
TCGA-A7-A0D9,2,1,-1,2
TCGA-A2-A0T5,1,0,-1,1
TCGA-AO-A12D,0,0,-1,0
TCGA-3C-AALJ,1,0,-1,1
TCGA-A7-A0CH,2,1,-1,2
TCGA-A7-A0CH,1,0,-1,1
TCGA-BH-A0HP,1,0,-1,1
TCGA-C8-A12U,1,0,-1,1
TCGA-A2-A0T6,1,0,-1,1
TCGA-BH-A0B1,1,0,-1,1
TCGA-A2-A0T4,1,0,-1,1
TCGA-A2-A0YJ,0,2,-1,0
TCGA-C8-A130,1,0,-1,1
TCGA-BH-A0C1,1,0,-1,1
TCGA-BH-A0EE,1,0,-1,1
TCGA-BH-A0DP,2,1,-1,2
TCGA-BH-A0DP,1,0,-1,1
TCGA-A2-A0YF,1,0,-1,1
TCGA-A2-A0SV,1,0,-1,1
TCGA-AO-A03L,1,0,-1,1
TCGA-A2-A4RX,0,2,-1,0
TCGA-A2-A0ES,2,1,-1,2
TCGA-S3-AA0Z,0,2,-1,0
TCGA-C8-A12Q,1,0,-1,1
TCGA-AO-A124,0,2,-1,0
TCGA-A2-A0YG,1,0,-1,1
TCGA-C8-A8HR,1,0,-1,1
TCGA-C8-A137,1,0,-1,1
TCGA-C8-A12Y,1,0,-1,1
TCGA-AR-A0U4,0,2,-1,0
TCGA-AO-A0JM,1,0,-1,1
TCGA-AO-A0J5,1,0,-1,1
TCGA-BH-A0BZ,1,0,-1,1
TCGA-BH-A0BZ,2,1,-1,2
TCGA-BH-A0E0,2,1,-1,2
TCGA-BH-A0E0,0,0,-1,0
TCGA-A2-A0YT,1,0,-1,1
TCGA-C8-A12M,1,0,-1,1
TCGA-A2-A0EV,1,0,-1,1
TCGA-A2-A0SW,1,0,-1,1
TCGA-A2-A0YH,1,0,-1,1
TCGA-A2-A0YK,2,1,-1,2
TCGA-C8-A12V,0,2,-1,0
TCGA-A7-A13F,2,1,-1,2
TCGA-A7-A13F,1,0,-1,1
TCGA-AR-A0U0,0,2,-1,0
TCGA-AQ-A04L,1,0,-1,1
TCGA-BH-A0B5,1,0,-1,1
TCGA-BH-A0B5,2,1,-1,2
TCGA-A2-A0SX,0,2,-1,0
TCGA-A2-A0T7,1,0,-1,1
TCGA-A2-A0EX,1,0,-1,1
TCGA-BH-A0BA,2,1,-1,2
TCGA-BH-A0BA,2,1,-1,2
TCGA-AO-A0J8,1,0,-1,1
TCGA-C8-A12O,1,0,-1,1
TCGA-A2-A0ET,1,0,-1,1
TCGA-BH-A0DL,0,2,-1,0
TCGA-BH-A0DL,2,1,-1,2
TCGA-D8-A13Z,0,0,-1,0
TCGA-AR-A0TV,1,0,-1,1
TCGA-BH-A1EV,1,0,-1,1
TCGA-BH-A1EV,2,1,-1,2
TCGA-BH-A0DV,2,1,-1,2
TCGA-BH-A0DV,2,1,-1,2
TCGA-A2-A0EY,1,0,-1,1
