Gene,Importance
ENSG00000129514.8,0.05191301
ENSG00000258616.5,0.037746456
ENSG00000157765.13,0.034548298
ENSG00000137440.5,0.031262018
ENSG00000118849.10,0.029890222
ENSG00000129151.9,0.027950756
ENSG00000160180.15,0.024663614
ENSG00000064787.13,0.024228567
ENSG00000112936.19,0.023197208
ENSG00000230873.9,0.0225498
ENSG00000178568.15,0.020713627
ENSG00000197308.9,0.020060683
ENSG00000157303.11,0.018789204
ENSG00000075461.6,0.018093748
ENSG00000198732.11,0.01807031
ENSG00000084628.10,0.01737289
ENSG00000138722.10,0.017296469
ENSG00000249661.1,0.017200721
ENSG00000259459.6,0.016279573
ENSG00000117115.13,0.015071108
