Gene1,Gene2,Correlation
ENSG00000187288.12,ENSG00000184811.4,0.9913267349465691
ENSG00000235687.9,ENSG00000234918.1,0.9879078722138548
ENSG00000187288.12,ENSG00000167588.13,0.9824410289729121
ENSG00000181092.10,ENSG00000196616.14,0.9823834109680257
ENSG00000167588.13,ENSG00000184811.4,0.9822640879553405
ENSG00000184811.4,ENSG00000176194.18,0.9786596210757318
ENSG00000287148.1,ENSG00000165269.13,0.9785139516047966
ENSG00000181092.10,ENSG00000166819.12,0.9765751395326165
ENSG00000181092.10,ENSG00000187288.12,0.9760601053985971
ENSG00000181092.10,ENSG00000184811.4,0.9755361886274179
ENSG00000187288.12,ENSG00000176194.18,0.9752880063201955
ENSG00000166819.12,ENSG00000184811.4,0.9751208824395348
ENSG00000287148.1,ENSG00000120049.20,0.9745345212030064
ENSG00000167588.13,ENSG00000176194.18,0.9732761286257371
ENSG00000166819.12,ENSG00000187288.12,0.973049255294186
ENSG00000167588.13,ENSG00000165269.13,0.9718762847464623
ENSG00000234918.1,ENSG00000148513.18,0.971138352750374
ENSG00000166819.12,ENSG00000167588.13,0.9710011249493179
ENSG00000165269.13,ENSG00000120049.20,0.9707133035797292
ENSG00000187288.12,ENSG00000196616.14,0.9703413642905377
ENSG00000167676.4,ENSG00000167588.13,0.9700150003538566
ENSG00000167676.4,ENSG00000184811.4,0.9697246400313826
ENSG00000184811.4,ENSG00000165269.13,0.9693604863425109
ENSG00000184811.4,ENSG00000196616.14,0.9683700243417016
ENSG00000167676.4,ENSG00000166819.12,0.9683005423300813
ENSG00000166819.12,ENSG00000196616.14,0.9641785408216161
ENSG00000187288.12,ENSG00000165269.13,0.964167965470391
ENSG00000170323.9,ENSG00000181092.10,0.963640838522718
ENSG00000244734.4,ENSG00000188536.13,0.9627989891559688
ENSG00000166819.12,ENSG00000165269.13,0.9624994384136406
ENSG00000184811.4,ENSG00000079435.10,0.9621029504582312
ENSG00000167676.4,ENSG00000187288.12,0.9616914194014767
ENSG00000165269.13,ENSG00000135917.16,0.9611218484503093
ENSG00000170323.9,ENSG00000196616.14,0.9602493496931599
ENSG00000176194.18,ENSG00000165269.13,0.9600962064141976
ENSG00000181092.10,ENSG00000167588.13,0.9598111803832232
